"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2008 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2005,0,0,"67,145","945,375",0,0,0,0,,"67,145","945,375",2.370005,"22,405.44","1,591.34"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2006,0,0,"67,145","945,375",0,0,0,0,,"67,145","945,375",2.353769,"22,251.94","1,580.44"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2007,0,0,"67,145","945,375",0,0,0,0,,"67,145","945,375",2.305825,"21,798.69","1,548.25"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2008,0,0,"67,145","945,375",0,0,0,0,,"67,145","945,375",2.269981,"21,459.83","1,524.18"
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",1993,0,0,0,0,0,0,0,0,,0,0,2.9978,0.00,0.00
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",1994,0,0,0,0,0,0,0,0,,"18,830","320,795",2.8513,"8,965.84",536.89
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",1995,0,0,0,0,0,0,0,0,,"18,830","409,440",2.6627,"10,733.21",501.40
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",1996,0,0,0,0,0,0,0,0,,"18,830","404,325",2.782648,"11,074.82",523.97
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",1997,0,0,0,0,0,0,0,0,,"18,830","404,325",2.770471,"11,201.71",521.60
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",1998,"18,830","404,325",0,0,0,0,0,0,,"18,830","404,325",2.283899,"9,234.37",430.06
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",1999,"18,830","420,495",0,0,0,0,0,0,,"18,830","420,495",2.242644,"9,430.20",422.29
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2000,"18,830","459,680",0,0,0,0,0,0,,"18,830","459,680",2.172859,"9,988.20",409.15
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2001,"18,830","482,240",0,0,0,0,0,0,,"18,830","482,240",2.199674,"10,607.71",414.20
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2002,"18,830","482,240",0,0,0,0,0,0,,"18,830","482,240",2.269407,"10,943.99",427.33
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2003,"18,830","482,240",0,0,0,0,0,0,,"18,830","482,240",2.394463,"11,547.06",450.88
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2004,"18,830","495,000",0,0,0,0,0,0,,"18,830","495,000",2.372993,"11,746.32",446.83
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2005,"18,830","499,710",0,0,0,0,0,0,,"18,830","499,710",2.370005,"11,843.16",446.27
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2006,"18,830","499,710",0,0,0,0,0,0,,"18,830","499,710",2.353769,"11,762.02",443.21
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2007,"18,830","499,710",0,0,0,0,0,0,,"18,830","499,710",2.305825,"11,522.43",434.19
01-0002,ADAMS,1,TIF ENGEL PROJECT I,12/10/1993,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes I 
701-725 S. Wabash - Area V
Description: Provided assistance to buy down the cost of constructing 7 single family homes.",2008,"18,830","536,655",0,0,0,0,0,0,,"18,830","536,655",2.269981,"12,181.96",427.44
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",1994,0,0,0,0,0,0,0,0,,0,0,2.8513,0.00,0.00
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",1995,0,0,0,0,0,0,0,0,,0,0,2.6627,0.00,0.00
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",1996,0,0,0,0,0,0,0,0,,"24,585","146,915",2.782648,"4,088.13",684.11
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",1997,0,0,0,0,0,0,0,0,,"24,585","146,915",2.770471,"4,070.24",681.12
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",1998,0,0,"24,585","146,915",0,0,0,0,,"24,585","146,915",2.283899,"3,355.52",561.50
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",1999,0,0,"24,585","154,260",0,0,0,0,,"24,585","154,260",2.242644,"3,459.50",551.35
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2000,0,0,"24,585","200,845",0,0,0,0,,"24,585","200,845",2.172859,"4,364.08",534.20
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2001,0,0,"24,585","200,845",0,0,0,0,,"24,585","200,845",2.199674,"4,417.94",540.79
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2002,0,0,"24,585","200,845",0,0,0,0,,"24,585","200,845",2.269407,"4,557.99",557.93
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2003,0,0,"24,585","200,845",0,0,0,0,,"24,585","200,845",2.394463,"4,809.16",588.68
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2004,0,0,"24,585","200,845",0,0,0,0,,"24,585","200,845",2.372993,"4,766.04",583.40
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2005,0,0,"24,585","230,150",0,0,0,0,,"24,585","230,150",2.370005,"5,454.57",582.67
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2006,0,0,"24,585","230,150",0,0,0,0,,"24,585","230,150",2.353769,"5,417.20",578.67
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2007,0,0,"24,585","230,150",0,0,0,0,,"24,585","230,150",2.305825,"5,306.85",566.89
01-0003,ADAMS,1,TIF SEALEY BODY SHOP,12/23/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Sealey Body Shop
Lots 15-17, Block 6, St Joe addition - Area II
Description: Provided funds to clean up & fence property and construct new addition to existing repair facility.",2008,0,0,"24,585","230,150",0,0,0,0,,"24,585","230,150",2.269981,"5,224.36",558.07
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",1994,0,0,0,0,0,0,0,0,,0,0,2.8513,0.00,0.00
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",1995,0,0,0,0,0,0,0,0,,"13,990","423,150",2.6627,"11,267.22",372.51
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",1996,0,0,0,0,0,0,0,0,,"13,990","423,150",2.782648,"11,774.79",389.29
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",1997,0,0,0,0,0,0,0,0,,"13,990","423,150",2.770471,"11,723.25",387.59
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",1998,"13,990","423,150",0,0,0,0,0,0,,"13,990","423,150",2.283899,"9,664.32",319.52
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",1999,"13,990","440,075",0,0,0,0,0,0,,"13,990","440,075",2.242644,"9,869.31",313.75
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2000,"13,990","472,085",0,0,0,0,0,0,,"13,990","472,085",2.172859,"10,257.74",303.98
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2001,"13,990","472,085",0,0,0,0,0,0,,"13,990","472,085",2.199674,"10,384.33",307.73
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2002,"13,990","474,860",0,0,0,0,0,0,,"13,990","474,860",2.269407,"10,776.51",317.49
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2003,"11,210","341,185",0,0,0,0,0,0,,"11,210","341,185",2.394463,"8,169.55",268.42
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2004,"11,210","341,185",0,0,0,0,0,0,,"11,210","341,185",2.372993,"8,096.30",266.01
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2005,"11,210","341,185",0,0,0,0,0,0,,"11,210","341,185",2.370005,"8,086.11",265.68
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2006,"11,210","341,185",0,0,0,0,0,0,,"11,210","341,185",2.353769,"8,030.71",263.86
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2007,"11,210","362,755",0,0,0,0,0,0,,"11,210","362,755",2.305825,"8,364.49",258.48
01-0005,ADAMS,1,TIF ENGEL PROJECT II,12/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Engel Homes II Area V 
400, 404, 408-410, 412 F Street & 743 S. Kansas
Note: Base change in 2003 due to a parcel being sold and is no longer part of base.
Description: Provided assistance to buy down the cost of constructing 10 single ",2008,"11,210","389,170",0,0,0,0,0,0,,"11,210","389,170",2.269981,"8,834.08",254.46
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",1994,0,0,0,0,0,0,0,0,,0,0,2.8513,0.00,0.00
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",1995,0,0,0,0,0,0,0,0,,"9,855","332,250",2.6627,"8,846.83",262.41
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",1996,0,0,0,0,0,0,0,0,,"9,855","332,250",2.782648,"9,245.35",274.23
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",1997,0,0,0,0,0,0,0,0,,"9,855","332,250",2.770471,"9,204.89",273.03
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",1998,0,0,"9,855","332,250",0,0,0,0,,"9,855","332,250",2.283899,"9,432.54",225.08
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",1999,0,0,"9,855","567,050",0,0,0,0,,"9,855","567,050",2.242644,"12,716.91",221.01
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",2000,0,0,"9,855","567,500",0,0,0,0,,"9,855","567,500",2.172859,"12,330.97",214.14
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",2001,0,0,"9,855","568,465",0,0,0,0,,"9,855","568,465",2.199674,"12,504.38",216.78
01-0006,ADAMS,1,"TIF BECKER WAREHOUSE, INC",5/20/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Becker Transportation Warehouse
Lots 1-9, Block 15, Veiths Park addition - Area V, City of Hastings
Description: Provided funds for water improvements and construction of warehouse and storage facilities.",2002,0,0,"9,855","568,465",0,0,0,0,,"9,855","568,465",2.269407,"12,900.78",223.65
