TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,Base School,Unified/LC,CLASS,LOCATION,DESCRIPTION,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2017,0,0,319880,2220375,0,0,0,0,,319880,2220375,2.230715,49530.24,7135.61
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2018,319880,2280825,0,0,0,0,0,0,,319880,2280825,2.231019,50885.68,7136.58
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2019,319880,2280825,0,0,0,0,0,0,,319880,2280825,2.237489,51033.18,7157.28
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2020,319880,2429210,0,0,0,0,0,0,,319880,2429210,2.258474,54863.08,7224.41
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2021,319880,2429210,0,0,0,0,0,0,,319880,2429210,2.300454,55882.88,7358.69
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2022,319880,2408808,0,0,0,0,0,0,,319880,2408808,2.359137,56827.1,7546.41
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2012,25850,544130,0,0,0,0,0,0,,25850,544130,2.341526,12740.96,605.28
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2013,25850,898750,0,0,0,0,0,0,,25850,898750,2.307173,20735.72,596.4
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2014,25850,898750,0,0,0,0,0,0,,25850,898750,2.295244,20628.52,593.32
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2015,25850,909150,0,0,0,0,0,0,,25850,909150,2.23584,20327.14,577.96
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2016,25850,692450,0,0,0,0,0,0,,25850,692450,2.234294,15471.38,577.56
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2017,25850,687395,0,0,0,0,0,0,,25850,687395,2.230715,15333.82,576.64
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2018,25850,549405,0,0,0,0,0,0,,25850,549405,2.231019,12257.42,576.72
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2019,25850,675830,0,0,0,0,0,0,,25850,675830,2.237489,15121.72,578.39
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2020,25850,647219,0,0,0,0,0,0,,25850,647219,2.258474,14617.3,583.82
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2021,25850,649476,0,0,0,0,0,0,,25850,649476,2.300454,14940.92,594.67
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2022,25850,563087,0,0,0,0,0,0,,25850,563087,2.359137,13284.02,609.84
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2013,0,0,88155,0,0,0,0,0,,88155,0,2.307173,0,2033.89
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2014,0,0,88155,0,0,0,0,0,,88155,0,2.295244,0,2023.37
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2015,0,0,88155,161640,0,0,0,0,,88155,161640,2.23584,3614.02,1971
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2016,0,0,88155,506090,0,0,0,0,,88155,506090,2.234294,11307.54,1969.64
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2017,0,0,88155,551600,0,0,0,0,,88155,551600,2.230715,12304.62,1966.49
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2018,0,0,88155,583440,0,0,0,0,,88155,583440,2.231019,13016.68,1966.75
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2019,0,0,88155,583440,0,0,0,0,,88155,583440,2.237489,13054.42,1972.46
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2020,0,0,88155,620304,0,0,0,0,,88155,620304,2.258474,14009.42,1990.96
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2021,0,0,88155,620304,0,0,0,0,,88155,620304,2.300454,14269.8,2027.97
01-0056,ADAMS,1,"TIF UPTOWN EXPERIENCE, LLC",01/01/2013,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 3, 4, 5, and 6 Block 24, Original Town Hastings, 509 W. 2nd and 521 W. 2nd St.","TIF funds used to fund façade improvements, off-street parking, lighting, utility improvements and landscaping. Developers to renovate two downtown buildings as a mixed used project with commercial on the main floor and 5 apartments on second floor.",2022,0,0,88155,631760,0,0,0,0,,88155,631760,2.359137,14904.1,2079.7
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2014,0,0,94355,237380,0,0,0,0,,94355,237380,2.295244,5448.46,2165.68
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2015,0,0,94355,253335,0,0,0,0,,94355,253335,2.23584,5664.18,2109.63
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2016,0,0,94355,260035,0,0,0,0,,94355,260035,2.234294,5809.96,2108.17
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2017,0,0,94355,287370,0,0,0,0,,94355,287370,2.230715,6410.42,2104.79
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2018,0,0,94355,303290,0,0,0,0,,94355,303290,2.231019,6766.5,2105.08
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2019,0,0,94355,303290,0,0,0,0,,94355,303290,2.237489,6786.16,2111.18
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2020,0,0,94355,325433,0,0,0,0,,94355,325433,2.258474,7349.82,2130.98
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2021,0,0,94355,325433,0,0,0,0,,94355,325433,2.300454,7486.46,2170.59
01-0058,ADAMS,1,TIF THE LISTENING ROOM INC PRJ,01/01/2014,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 2 & 3 Olivers Addition, Hastings, 809 W. 2nd St.","TIF funds used used for site acquisition, water line improvements, and façade improvements. Renovation of downtown building into a community performing arts center.",2022,0,0,94355,310639,0,0,0,0,,94355,310639,2.359137,7328.4,2225.96
01-0060,ADAMS,1,TIF DIECKER CONSTRUCTION,01/01/2015,HASTINGS,HASTINGS 18,01-0018,,3,"123 S Hastings Ave, Lot 1 Dayton Subdiv PID 010006230","Developer constructed 4,000 sq ft shop space. TIF funds used to provide sewer and water to lot line.",2015,0,0,18445,185455,0,0,0,0,,18445,185455,2.23584,4146.48,412.4
01-0060,ADAMS,1,TIF DIECKER CONSTRUCTION,01/01/2015,HASTINGS,HASTINGS 18,01-0018,,3,"123 S Hastings Ave, Lot 1 Dayton Subdiv PID 010006230","Developer constructed 4,000 sq ft shop space. TIF funds used to provide sewer and water to lot line.",2016,0,0,18445,189175,0,0,0,0,,18445,189175,2.234294,4226.74,412.12
01-0060,ADAMS,1,TIF DIECKER CONSTRUCTION,01/01/2015,HASTINGS,HASTINGS 18,01-0018,,3,"123 S Hastings Ave, Lot 1 Dayton Subdiv PID 010006230","Developer constructed 4,000 sq ft shop space. TIF funds used to provide sewer and water to lot line.",2017,0,0,18445,204360,0,0,0,0,,18445,204360,2.230715,4558.7,411.46
01-0060,ADAMS,1,TIF DIECKER CONSTRUCTION,01/01/2015,HASTINGS,HASTINGS 18,01-0018,,3,"123 S Hastings Ave, Lot 1 Dayton Subdiv PID 010006230","Developer constructed 4,000 sq ft shop space. TIF funds used to provide sewer and water to lot line.",2018,0,0,18445,234645,0,0,0,0,,18445,234645,2.231019,5235,411.51
01-0060,ADAMS,1,TIF DIECKER CONSTRUCTION,01/01/2015,HASTINGS,HASTINGS 18,01-0018,,3,"123 S Hastings Ave, Lot 1 Dayton Subdiv PID 010006230","Developer constructed 4,000 sq ft shop space. TIF funds used to provide sewer and water to lot line.",2019,0,0,18445,234645,0,0,0,0,,18445,234645,2.237489,5250.16,412.7
01-0060,ADAMS,1,TIF DIECKER CONSTRUCTION,01/01/2015,HASTINGS,HASTINGS 18,01-0018,,3,"123 S Hastings Ave, Lot 1 Dayton Subdiv PID 010006230","Developer constructed 4,000 sq ft shop space. TIF funds used to provide sewer and water to lot line.",2020,0,0,18445,246944,0,0,0,0,,18445,246944,2.258474,5577.18,416.58
01-0060,ADAMS,1,TIF DIECKER CONSTRUCTION,01/01/2015,HASTINGS,HASTINGS 18,01-0018,,3,"123 S Hastings Ave, Lot 1 Dayton Subdiv PID 010006230","Developer constructed 4,000 sq ft shop space. TIF funds used to provide sewer and water to lot line.",2021,0,0,18445,246944,0,0,0,0,,18445,246944,2.300454,5680.84,424.32
01-0060,ADAMS,1,TIF DIECKER CONSTRUCTION,01/01/2015,HASTINGS,HASTINGS 18,01-0018,,3,"123 S Hastings Ave, Lot 1 Dayton Subdiv PID 010006230","Developer constructed 4,000 sq ft shop space. TIF funds used to provide sewer and water to lot line.",2022,0,0,18445,254887,0,0,0,0,,18445,254887,2.359137,6013.12,435.14
01-0061,ADAMS,1,TIF BROOKS BAKERY,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lots 543, 544, and 545 Juniata Village, PID 010015995",32'x32' building to house a retail bakery with rear accessible parking and greenspace.,2016,0,0,6005,137000,0,0,0,0,,6005,137000,1.672744,2291.66,100.45
01-0061,ADAMS,1,TIF BROOKS BAKERY,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lots 543, 544, and 545 Juniata Village, PID 010015995",32'x32' building to house a retail bakery with rear accessible parking and greenspace.,2017,0,0,6005,135615,0,0,0,0,,6005,135615,1.721056,2334.02,103.35
01-0061,ADAMS,1,TIF BROOKS BAKERY,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lots 543, 544, and 545 Juniata Village, PID 010015995",32'x32' building to house a retail bakery with rear accessible parking and greenspace.,2018,0,0,6005,134230,0,0,0,0,,6005,134230,1.733122,2326.4,104.07
01-0061,ADAMS,1,TIF BROOKS BAKERY,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lots 543, 544, and 545 Juniata Village, PID 010015995",32'x32' building to house a retail bakery with rear accessible parking and greenspace.,2019,0,0,6005,134230,0,0,0,0,,6005,134230,1.732223,2325.22,104.02
01-0061,ADAMS,1,TIF BROOKS BAKERY,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lots 543, 544, and 545 Juniata Village, PID 010015995",32'x32' building to house a retail bakery with rear accessible parking and greenspace.,2020,0,0,6005,140237,0,0,0,0,,6005,140237,1.765906,2476.48,106.04
01-0061,ADAMS,1,TIF BROOKS BAKERY,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lots 543, 544, and 545 Juniata Village, PID 010015995",32'x32' building to house a retail bakery with rear accessible parking and greenspace.,2021,0,0,6005,140237,0,0,0,0,,6005,140237,1.810701,2539.28,108.73
01-0061,ADAMS,1,TIF BROOKS BAKERY,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lots 543, 544, and 545 Juniata Village, PID 010015995",32'x32' building to house a retail bakery with rear accessible parking and greenspace.,2022,0,0,6005,140237,0,0,0,0,,6005,140237,1.889848,2650.28,113.49
01-0062,ADAMS,1,TIF RENSCHLER II,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lot 4 Green Acres 5th Subdivision, Juniata, PID 010018071","1 story, approx. 1800 sq ft single-family dwelling with basement, two car garage, with sidewalk and greenspace.",2016,11620,79225,0,0,0,0,0,0,,11620,79225,1.672744,1325.24,194.37
01-0062,ADAMS,1,TIF RENSCHLER II,01/01/2016,JUNIATA,ADAMS CENTRAL 90,01-0090,,3,"Lot 4 Green Acres 5th Subdivision, Juniata, PID 010018071","1 story, approx. 1800 sq ft single-family dwelling with basement, two car garage, with sidewalk and greenspace.",2017,11620,237505,0,0,0,0,0,0,,11620,237505,1.721056,4087.6,199.99
