"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2012,0,0,7155,200890,0,0,0,0,,7155,200890,2.341526,4703.9,167.54
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2013,0,0,7155,200890,0,0,0,0,,7155,200890,2.307173,4634.88,165.08
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2001,0,0,76330,130855,0,0,0,0,,76330,130855,1.900576,2487,1450.71
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2002,0,0,76330,258135,0,0,0,0,,76330,258135,1.963154,5067.59,1498.48
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2003,0,0,76330,258135,0,0,0,0,,76330,258135,2.043319,5274.52,1559.67
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2004,0,0,76330,258135,0,0,0,0,,76330,258135,2.032398,5246.33,1551.33
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2005,0,0,76330,301615,0,0,0,0,,76330,301615,1.956071,5899.81,1493.07
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2006,0,0,76330,301615,0,0,0,0,,76330,301615,1.979082,5969.21,1510.63
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2007,0,0,76330,301615,0,0,0,0,,76330,301615,1.941677,5856.39,1482.08
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2008,0,0,76330,301615,0,0,0,0,,76330,301615,1.977648,5964.88,1509.54
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2009,0,0,76330,301615,0,0,0,0,,76330,301615,2.060345,6214.31,1572.66
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2010,0,0,76330,301615,0,0,0,0,,76330,301615,2.072994,6252.46,1582.32
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2011,0,0,76330,301615,0,0,0,0,,76330,301615,2.01015,6062.91,1534.35
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2012,0,0,76330,301615,0,0,0,0,,76330,301615,1.947844,5875,1486.79
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2013,0,0,76330,301615,0,0,0,0,,76330,301615,1.946493,5870.92,1485.76
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2001,7475,362265,263350,321650,0,0,0,0,,270825,683915,1.968581,13463.42,5331.41
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2002,7475,484710,263350,321650,0,0,0,0,,270825,806360,1.977611,15946.66,5355.86
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2003,7475,448980,263350,321650,0,0,0,0,,270825,770630,2.092772,16127.53,5667.75
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2004,8000,631130,263350,321650,0,0,0,0,,271350,952780,2.070732,19729.52,5618.93
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2005,8000,683255,347350,332570,0,0,0,0,,355350,1015825,2.063932,20965.94,7334.18
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2006,8000,683255,347350,332570,0,0,0,0,,355350,1015825,2.058883,20914.65,7316.24
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2007,8000,684500,347350,332570,0,0,0,0,,355350,1017070,2.068758,21040.72,7351.33
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2008,8000,684500,350320,338740,0,0,0,0,,358320,1023240,2.045019,20925.45,7327.71
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2009,281485,645480,350320,338740,0,0,0,0,,631805,984220,2.048837,20165.06,12944.65
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2010,281485,645480,350320,892075,0,0,0,0,,631805,1537555,2.038218,31338.72,12877.56
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2011,281485,668605,350320,892075,0,0,0,0,,631805,1560680,2.036199,31778.55,12864.81
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2012,281485,668605,350320,892075,0,0,0,0,,631805,1560680,1.918964,29948.9,12124.11
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2013,281485,668605,350320,892075,0,0,0,0,,631805,1560680,1.794256,28002.6,11336.2
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2002,0,0,900475,1301625,0,0,0,0,,900475,1301625,2.269407,29539.17,20435.44
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2003,0,0,900475,1301625,0,0,0,0,,900475,1301625,2.394463,31166.93,21561.54
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2004,0,0,900475,1301625,0,0,0,0,,900475,1301625,2.372993,30887.47,21368.21
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2005,0,0,900475,1587895,0,0,0,0,,900475,1587895,2.370005,37633.19,21341.3
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2006,0,0,900475,1852075,0,0,0,0,,900475,1852075,2.353769,43593.57,21195.1
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2007,0,0,900475,1852075,0,0,0,0,,900475,1852075,2.305825,42705.61,20763.38
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2008,0,0,32500,2720050,0,0,0,0,,32500,2720050,2.269981,61744.62,737.74
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2009,0,0,32500,2720050,0,0,0,0,,32500,2720050,2.289484,62275.12,744.08
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2010,0,0,32500,2775075,0,0,0,0,,32500,2775075,2.322425,64449.04,754.79
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2011,0,0,32500,2775075,0,0,0,0,,32500,2775075,2.357864,65432.49,766.31
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2012,0,0,32500,2775075,0,0,0,0,,32500,2775075,2.341526,64979.1,761
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2013,0,0,32500,2775075,0,0,0,0,,32500,2775075,2.307173,64025.78,749.83
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2002,0,0,25525,1068800,0,0,0,0,,25525,1068800,2.269407,24255.42,579.27
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2003,0,0,25525,1068800,0,0,0,0,,25525,1068800,2.394463,25592.02,611.19
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2004,0,0,25525,1068800,0,0,0,0,,25525,1068800,2.372993,25362.55,605.71
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2005,0,0,25525,1211055,0,0,0,0,,25525,1211055,2.370005,28702.07,604.94
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2006,0,0,25525,781075,0,0,0,0,,25525,781075,2.353769,18384.7,600.8
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2007,0,0,25525,781075,0,0,0,0,,25525,781075,2.305825,18010.22,588.56
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2008,0,0,25525,781075,0,0,0,0,,25525,781075,2.269981,17730.25,579.41
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2009,0,0,25525,781075,0,0,0,0,,25525,781075,2.289484,17882.59,584.39
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2010,0,0,25525,797205,0,0,0,0,,25525,797205,2.322425,18514.49,592.8
