ID,CNTYNAME,CNTY,TIFNAME,PROJDATE,CITYNAME,SCHNAME,BASESCH,UNIFSCH,CLASS,REMARKS,Year,RESTIFBV,RESTIFEV,COMTIFBV,COMTIFEV,INDTIFBV,INDTIFEV,OTHTIFBV,OTHTIFEV,OTHDESC,TOTTIFBV,TOTTIFEV,TOTRATE,TIFEXTAX,TIFBSTAX
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2013,0,0,76330,301615,0,0,0,0,,76330,301615,1.946493,5870.92,1485.76
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2014,0,0,76330,301615,0,0,0,0,,76330,301615,1.804054,5441.3,1377.03
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2015,0,0,76330,301615,0,0,0,0,,76330,301615,1.593068,4804.94,1215.99
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2016,0,0,76330,308895,0,0,0,0,,76330,308895,1.539379,4755.06,1175.01
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2001,7475,362265,263350,321650,0,0,0,0,,270825,683915,1.968581,13463.42,5331.41
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2002,7475,484710,263350,321650,0,0,0,0,,270825,806360,1.977611,15946.66,5355.86
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2003,7475,448980,263350,321650,0,0,0,0,,270825,770630,2.092772,16127.53,5667.75
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2004,8000,631130,263350,321650,0,0,0,0,,271350,952780,2.070732,19729.52,5618.93
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2005,8000,683255,347350,332570,0,0,0,0,,355350,1015825,2.063932,20965.94,7334.18
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2006,8000,683255,347350,332570,0,0,0,0,,355350,1015825,2.058883,20914.65,7316.24
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2007,8000,684500,347350,332570,0,0,0,0,,355350,1017070,2.068758,21040.72,7351.33
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2008,8000,684500,350320,338740,0,0,0,0,,358320,1023240,2.045019,20925.45,7327.71
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2009,281485,645480,350320,338740,0,0,0,0,,631805,984220,2.048837,20165.06,12944.65
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2010,281485,645480,350320,892075,0,0,0,0,,631805,1537555,2.038218,31338.72,12877.56
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2011,281485,668605,350320,892075,0,0,0,0,,631805,1560680,2.036199,31778.55,12864.81
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2012,281485,668605,350320,892075,0,0,0,0,,631805,1560680,1.918964,29948.9,12124.11
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2013,281485,668605,350320,892075,0,0,0,0,,631805,1560680,1.794256,28002.6,11336.2
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2014,281485,899585,350320,892075,0,0,0,0,,631805,1791660,1.604313,28743.84,10136.13
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2015,281485,922530,350320,892075,0,0,0,0,,631805,1814605,1.391298,25246.56,8790.29
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF ",2016,281485,922530,350320,916460,0,0,0,0,,631805,1838990,1.38147,25405.1,8728.2
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2002,0,0,25525,1068800,0,0,0,0,,25525,1068800,2.269407,24255.42,579.27
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2003,0,0,25525,1068800,0,0,0,0,,25525,1068800,2.394463,25592.02,611.19
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2004,0,0,25525,1068800,0,0,0,0,,25525,1068800,2.372993,25362.55,605.71
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2005,0,0,25525,1211055,0,0,0,0,,25525,1211055,2.370005,28702.07,604.94
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2006,0,0,25525,781075,0,0,0,0,,25525,781075,2.353769,18384.7,600.8
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2007,0,0,25525,781075,0,0,0,0,,25525,781075,2.305825,18010.22,588.56
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2008,0,0,25525,781075,0,0,0,0,,25525,781075,2.269981,17730.25,579.41
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2009,0,0,25525,781075,0,0,0,0,,25525,781075,2.289484,17882.59,584.39
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2010,0,0,25525,797205,0,0,0,0,,25525,797205,2.322425,18514.49,592.8
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2011,0,0,25525,797205,0,0,0,0,,25525,797205,2.357864,18797.01,601.84
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2012,0,0,25525,376945,0,0,0,0,,25525,376945,2.341526,8826.28,597.67
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2013,0,0,25525,376945,0,0,0,0,,25525,376945,2.307173,8696.78,588.91
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2014,0,0,25525,376945,0,0,0,0,,25525,376945,2.295244,8651.82,585.86
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2015,0,0,25525,376945,0,0,0,0,,25525,376945,2.23584,8427.9,570.7
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2016,0,0,25525,312365,0,0,0,0,,25525,312365,2.234294,6979.16,570.3
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2003,11250,85565,0,0,0,0,0,0,,11250,85565,2.394463,2048.82,269.38
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2004,11250,1041980,0,0,0,0,0,0,,11250,1041980,2.372993,24726.11,266.96
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2005,10325,1029685,0,0,0,0,0,0,,10325,1029685,2.370005,24403.59,244.7
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2006,10325,1029685,0,0,0,0,0,0,,10325,1029685,2.353769,24236.41,243.03
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2007,10325,1029685,0,0,0,0,0,0,,10325,1029685,2.305825,23742.74,238.07
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2008,25125,1024950,0,0,0,0,0,0,,25125,1024950,2.269981,23266.17,570.29
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2009,25125,1024950,0,0,0,0,0,0,,25125,1024950,2.289484,23466.08,575.2
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2010,25125,1024950,0,0,0,0,0,0,,25125,1024950,2.322425,23803.7,583.55
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2011,15875,1013900,0,0,0,0,0,0,,15875,1013900,2.357864,23906.4,374.31
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2012,10325,1007270,0,0,0,0,0,0,,10325,1007270,2.341526,23585.5,241.76
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2013,14025,1257660,0,0,0,0,0,0,,14025,1257660,2.307173,29016.4,323.58
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2014,14025,1304015,0,0,0,0,0,0,,14025,1304015,2.295244,29930.34,321.91
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2015,14025,1233320,0,0,0,0,0,0,,14025,1233320,2.23584,27575.06,313.58
01-0038,ADAMS,1,TIF SOUTHWOOD III,6/1/2002,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Southwood III (Hastings/Adams Coutny Housing Development Corporation)
Lots 1 through 6 inclusive Block 1 and Lots 7 through 12 inclusive Block 2, Southwood Third Addition
Description: TIF funds used for paving, water and sewer assessmen",2016,14025,1065095,0,0,0,0,0,0,,14025,1065095,2.234294,23797.36,313.36
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/2003,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2004,0,0,42770,99645,0,0,0,0,,42770,99645,2.372993,2364.57,1014.93
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/2003,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2005,0,0,42770,118160,0,0,0,0,,42770,118160,2.370005,2800.4,1013.65
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/2003,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2006,0,0,42770,118160,0,0,0,0,,42770,118160,2.353769,2781.21,1006.71
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/2003,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2007,0,0,42770,118160,0,0,0,0,,42770,118160,2.305825,2724.56,986.2
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/2003,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2008,0,0,42770,118160,0,0,0,0,,42770,118160,2.269981,2682.21,970.87
