"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export 2019 TIF Report  certified as of 2-21-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2015,0,0,"83,825","885,175",0,0,0,0,,"83,825","885,175",2.235840,"19,791.10","1,874.19"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2016,0,0,"83,825","243,990",0,0,0,0,,"83,825","243,990",2.234294,"5,451.46","1,872.90"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2017,0,0,"83,825","285,235",0,0,0,0,,"83,825","285,235",2.230715,"6,362.78","1,869.90"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2018,0,0,"83,825","269,325",0,0,0,0,,"83,825","269,325",2.231019,"6,008.76","1,870.15"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2019,0,0,"83,825","242,535",0,0,0,0,,"83,825","242,535",2.237489,"5,426.76","1,875.58"
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2007,0,0,"14,395","142,940",0,0,0,0,,"14,395","142,940",2.305825,"3,295.95",331.92
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2008,0,0,"14,395","191,840",0,0,0,0,,"14,395","191,840",2.269981,"4,354.73",326.76
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2009,"50,575","209,645",0,0,0,0,0,0,,"50,575","209,645",2.289484,"4,799.79","1,157.91"
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2010,"50,575","233,380",0,0,0,0,0,0,,"50,575","233,380",2.322425,"5,420.08","1,174.57"
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2011,"50,575","233,380",0,0,0,0,0,0,,"50,575","233,380",2.357864,"5,502.78","1,192.49"
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2012,"50,575","240,545",0,0,0,0,0,0,,"50,575","240,545",2.341526,"5,632.42","1,184.23"
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2013,"43,740","240,545",0,0,0,0,0,0,,"43,740","240,545",2.307173,"5,549.80","1,009.16"
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2014,"50,575","252,165",0,0,0,0,0,0,,"50,575","252,165",2.295244,"5,787.80","1,160.82"
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2015,"43,740","254,380",0,0,0,0,0,0,,"43,740","254,380",2.235840,"5,687.54",977.96
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2016,"43,740","327,540",0,0,0,0,0,0,,"43,740","327,540",2.234294,"7,318.22",977.28
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2017,"43,740","338,685",0,0,0,0,0,0,,"43,740","338,685",2.230715,"7,555.10",975.71
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2018,"43,740","369,195",0,0,0,0,0,0,,"43,740","369,195",2.231019,"8,236.92",975.85
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,38908,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2019,"43,740","384,234",0,0,0,0,0,0,,"43,740","384,234",2.237489,"8,597.10",978.68
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2009,0,0,"42,885","354,510",0,0,0,0,,"42,885","354,510",2.289484,"8,116.45",981.85
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2010,0,0,"42,885","362,455",0,0,0,0,,"42,885","362,455",2.322425,"8,417.75",995.97
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2011,0,0,"42,885","362,455",0,0,0,0,,"42,885","362,455",2.357864,"8,546.20","1,011.17"
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2012,0,0,"42,885","362,455",0,0,0,0,,"42,885","362,455",2.341526,"8,486.98","1,004.16"
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2013,0,0,"42,885","362,455",0,0,0,0,,"42,885","362,455",2.307173,"8,362.46",989.43
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2014,0,0,"42,885","362,455",0,0,0,0,,"42,885","362,455",2.295244,"8,319.24",984.32
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2015,0,0,"42,885","380,535",0,0,0,0,,"42,885","380,535",2.235840,"8,508.16",958.84
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2016,0,0,"42,885","388,130",0,0,0,0,,"42,885","388,130",2.234294,"8,671.98",958.18
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2017,0,0,"42,885","419,110",0,0,0,0,,"42,885","419,110",2.230715,"9,349.16",956.64
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2018,0,0,"42,885","474,170",0,0,0,0,,"42,885","474,170",2.231019,"10,578.84",956.77
01-0050,ADAMS,1,TIF MIDLAND CORP,39448,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 17 through 22, inclusive, and the West 2/3 feet of Lot 23, Block 22, Johnson's Addition, Hastings","TIF funds used to develop a 17,690 sq ft metal and brick building as a warehouse for shipping and receiving of Dutton-Lainson Company's wholesale division.",2019,0,0,"42,885","474,170",0,0,0,0,,"42,885","474,170",2.237489,"10,609.50",959.55
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2010,0,0,"76,335","1,535",0,0,0,0,,"76,335","1,535",2.322425,35.65,"1,772.82"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2011,0,0,"76,335","111,190",0,0,0,0,,"76,335","111,190",2.357864,"2,621.71","1,799.88"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2012,0,0,"76,335","185,510",0,0,0,0,,"76,335","185,510",2.341526,"4,343.76","1,787.40"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2013,0,0,"76,335","185,510",0,0,0,0,,"76,335","185,510",2.307173,"4,280.04","1,761.18"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2014,0,0,"76,335","397,575",0,0,0,0,,"76,335","397,575",2.295244,"9,125.32","1,752.07"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2015,0,0,"76,335","420,635",0,0,0,0,,"76,335","420,635",2.235840,"9,404.74","1,706.73"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2016,0,0,"76,335","430,320",0,0,0,0,,"76,335","430,320",2.234294,"9,614.62","1,705.55"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2017,0,0,"76,335","453,055",0,0,0,0,,"76,335","453,055",2.230715,"10,106.38","1,702.82"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2018,0,0,"76,335","461,815",0,0,0,0,,"76,335","461,815",2.231019,"10,303.16","1,703.05"
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,40179,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2019,0,0,"76,335","461,815",0,0,0,0,,"76,335","461,815",2.237489,"10,333.08","1,707.99"
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2012,0,0,"319,880","1,992,285",0,0,0,0,,"319,880","1,992,285",2.341526,"46,649.88","7,490.07"
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2013,0,0,"319,880","1,992,285",0,0,0,0,,"319,880","1,992,285",2.307173,"45,965.46","7,380.18"
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2014,0,0,"319,880","1,992,285",0,0,0,0,,"319,880","1,992,285",2.295244,"45,727.80","7,342.03"
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2015,0,0,"319,880","1,992,285",0,0,0,0,,"319,880","1,992,285",2.235840,"44,544.30","7,152.00"
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2016,0,0,"319,880","2,037,185",0,0,0,0,,"319,880","2,037,185",2.234294,"45,516.70","7,147.06"
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2017,0,0,"319,880","2,220,375",0,0,0,0,,"319,880","2,220,375",2.230715,"49,530.24","7,135.61"
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2018,"319,880","2,280,825",0,0,0,0,0,0,,"319,880","2,280,825",2.231019,"50,885.68","7,136.58"
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2019,"319,880","2,280,825",0,0,0,0,0,0,,"319,880","2,280,825",2.237489,"51,033.18","7,157.28"
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2012,"25,850","544,130",0,0,0,0,0,0,,"25,850","544,130",2.341526,"12,740.96",605.28
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2013,"25,850","898,750",0,0,0,0,0,0,,"25,850","898,750",2.307173,"20,735.72",596.40
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2014,"25,850","898,750",0,0,0,0,0,0,,"25,850","898,750",2.295244,"20,628.52",593.32
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2015,"25,850","909,150",0,0,0,0,0,0,,"25,850","909,150",2.235840,"20,327.14",577.96
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2016,"25,850","692,450",0,0,0,0,0,0,,"25,850","692,450",2.234294,"15,471.38",577.56
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2017,"25,850","687,395",0,0,0,0,0,0,,"25,850","687,395",2.230715,"15,333.82",576.64
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2018,"25,850","549,405",0,0,0,0,0,0,,"25,850","549,405",2.231019,"12,257.42",576.72
01-0053,ADAMS,1,TIF SOUTHWOOD ESTATES DEVL PRJ,40909,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 2 and 3, Southwood Estates","Provide funding for water, sewer and street improvements for 32 units of low to moderate senior rental housing.",2019,"25,850","675,830",0,0,0,0,0,0,,"25,850","675,830",2.237489,"15,121.72",578.39
01-0055,ADAMS,1,TIF SMITTY'S ENTERPRISES DEVL.,41275,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 11 through 21, Block 17, M.J. Smith's Addition, 720 Pine St.","TIF funds used to open alley, curbcuts, concrete approaches and landscaping in public right of way. Developer constructed a 12,000 sq. ft. industrial building with 6 workshops.",2013,0,0,"5,310",0,0,0,0,0,,"5,310",0,2.307173,0.00,122.51
01-0055,ADAMS,1,TIF SMITTY'S ENTERPRISES DEVL.,41275,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 11 through 21, Block 17, M.J. Smith's Addition, 720 Pine St.","TIF funds used to open alley, curbcuts, concrete approaches and landscaping in public right of way. Developer constructed a 12,000 sq. ft. industrial building with 6 workshops.",2014,0,0,"5,310","329,690",0,0,0,0,,"5,310","329,690",2.295244,"7,567.20",121.88
