"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2015 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2006,0,0,42770,118160,0,0,0,0,,42770,118160,2.353769,2781.21,1006.71
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2007,0,0,42770,118160,0,0,0,0,,42770,118160,2.305825,2724.56,986.2
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2008,0,0,42770,118160,0,0,0,0,,42770,118160,2.269981,2682.21,970.87
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2009,0,0,42770,118160,0,0,0,0,,42770,118160,2.289484,2705.25,979.21
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2010,0,0,42770,121380,0,0,0,0,,42770,121380,2.322425,2818.96,993.3
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2011,0,0,42770,121380,0,0,0,0,,42770,121380,2.357864,2861.98,1008.46
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2012,0,0,42770,121380,0,0,0,0,,42770,121380,2.341526,2842.14,1001.47
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2013,0,0,42770,121380,0,0,0,0,,42770,121380,2.307173,2800.46,986.78
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2014,0,0,42770,121380,0,0,0,0,,42770,121380,2.295244,2785.98,981.68
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2015,0,0,42770,129270,0,0,0,0,,42770,129270,2.23584,2890.28,956.27
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2004,0,0,11395,279985,0,0,0,0,,11395,279985,2.372993,6644.02,270.4
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2005,0,0,11395,317865,0,0,0,0,,11395,317865,2.370005,7533.42,270.06
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2006,0,0,11395,317865,0,0,0,0,,11395,317865,2.353769,7481.81,268.21
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2007,0,0,11395,317865,0,0,0,0,,11395,317865,2.305825,7329.41,262.75
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2008,0,0,11395,317865,0,0,0,0,,11395,317865,2.269981,7215.48,258.66
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2009,0,0,11395,317865,0,0,0,0,,11395,317865,2.289484,7277.47,260.89
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2010,0,0,11395,324450,0,0,0,0,,11395,324450,2.322425,7535.11,264.64
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2011,0,0,11395,332040,0,0,0,0,,11395,332040,2.357864,7829.05,268.68
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2012,0,0,11395,332040,0,0,0,0,,11395,332040,2.341526,7774.8,266.82
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2013,0,0,11395,332040,0,0,0,0,,11395,332040,2.307173,7660.74,262.9
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2014,0,0,11395,332040,0,0,0,0,,11395,332040,2.295244,7621.14,261.54
01-0041,ADAMS,1,TIF BRUNS REDEVELOPMENT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Bruns Redevelopment Project
Lots 1, 2, 23 & 24, Block 1, Coles First Addition
Description: TIF funds provided for demolition, landfill fees, and clearing site for the construction of a restaurant. TIF funds werer also provided for utility, alley and parking improvements.",2015,0,0,11395,348175,0,0,0,0,,11395,348175,2.23584,7784.64,254.77
01-0052,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/00,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2012,0,0,319880,1992285,0,0,0,0,,319880,1992285,2.341526,46649.88,7490.07
01-0052,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/00,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2013,0,0,319880,1992285,0,0,0,0,,319880,1992285,2.307173,45965.46,7380.18
01-0052,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/00,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2014,0,0,319880,1992285,0,0,0,0,,319880,1992285,2.295244,45727.8,7342.03
01-0052,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/00,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2015,0,0,319880,1992285,0,0,0,0,,319880,1992285,2.23584,44544.3,7152
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,1/1/10,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Carmichael Limited LLC
Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd 
Description: Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.",2010,0,0,76335,1535,0,0,0,0,,76335,1535,2.322425,35.65,1772.82
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,1/1/10,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Carmichael Limited LLC
Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd 
Description: Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.",2011,0,0,76335,111190,0,0,0,0,,76335,111190,2.357864,2621.71,1799.88
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,1/1/10,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Carmichael Limited LLC
Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd 
Description: Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.",2012,0,0,76335,185510,0,0,0,0,,76335,185510,2.341526,4343.76,1787.4
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,1/1/10,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Carmichael Limited LLC
Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd 
Description: Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.",2013,0,0,76335,185510,0,0,0,0,,76335,185510,2.307173,4280.04,1761.18
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,1/1/10,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Carmichael Limited LLC
Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd 
Description: Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.",2014,0,0,76335,397575,0,0,0,0,,76335,397575,2.295244,9125.32,1752.07
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,1/1/10,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Carmichael Limited LLC
Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd 
Description: Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.",2015,0,0,76335,420635,0,0,0,0,,76335,420635,2.23584,9404.74,1706.73
01-0057,ADAMS,1,TIF CI PROP. BURLINGTON PROJ,1/1/13,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: CI Properties LLC - Burlington Redevelopment Project
Lots 1 through 3, Block 4 Moore's Addition Hastings, 237 N. Burlington St. 
Description: TIF funds used for demolition of substandard building, public parking, sidewalks and landscaping for new 3,500 sq. ft. office building.",2013,0,0,59630,290370,0,0,0,0,,59630,290370,2.307173,6699.34,1375.77
01-0057,ADAMS,1,TIF CI PROP. BURLINGTON PROJ,1/1/13,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: CI Properties LLC - Burlington Redevelopment Project
Lots 1 through 3, Block 4 Moore's Addition Hastings, 237 N. Burlington St. 
Description: TIF funds used for demolition of substandard building, public parking, sidewalks and landscaping for new 3,500 sq. ft. office building.",2014,0,0,59630,290370,0,0,0,0,,59630,290370,2.295244,6664.7,1368.65
01-0057,ADAMS,1,TIF CI PROP. BURLINGTON PROJ,1/1/13,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: CI Properties LLC - Burlington Redevelopment Project
Lots 1 through 3, Block 4 Moore's Addition Hastings, 237 N. Burlington St. 
Description: TIF funds used for demolition of substandard building, public parking, sidewalks and landscaping for new 3,500 sq. ft. office building.",2015,0,0,59630,304885,0,0,0,0,,59630,304885,2.23584,6816.74,1333.23
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2007,0,0,14395,142940,0,0,0,0,,14395,142940,2.305825,3295.95,331.92
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2008,0,0,14395,191840,0,0,0,0,,14395,191840,2.269981,4354.73,326.76
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2009,50575,209645,0,0,0,0,0,0,,50575,209645,2.289484,4799.79,1157.91
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2010,50575,233380,0,0,0,0,0,0,,50575,233380,2.322425,5420.08,1174.57
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2011,50575,233380,0,0,0,0,0,0,,50575,233380,2.357864,5502.78,1192.49
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2012,50575,240545,0,0,0,0,0,0,,50575,240545,2.341526,5632.42,1184.23
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2013,43740,240545,0,0,0,0,0,0,,43740,240545,2.307173,5549.8,1009.16
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2014,50575,252165,0,0,0,0,0,0,,50575,252165,2.295244,5787.8,1160.82
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/06,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Cicada Properties, LLC
Lot 1, Block 1, Buswell's Addition
Description: TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2015,43740,254380,0,0,0,0,0,0,,43740,254380,2.23584,5687.54,977.96
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/01,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.
",2002,0,0,900475,1301625,0,0,0,0,,900475,1301625,2.269407,29539.17,20435.44
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/01,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.
",2003,0,0,900475,1301625,0,0,0,0,,900475,1301625,2.394463,31166.93,21561.54
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/01,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.
",2004,0,0,900475,1301625,0,0,0,0,,900475,1301625,2.372993,30887.47,21368.21
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/01,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.
",2005,0,0,900475,1587895,0,0,0,0,,900475,1587895,2.370005,37633.19,21341.3
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/01,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.
",2006,0,0,900475,1852075,0,0,0,0,,900475,1852075,2.353769,43593.57,21195.1
