"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2014 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2010,0.00,0.00,"7,155.00","200,890.00",0.00,0.00,0.00,0.00,,"7,155.00","200,890.00",2.322425,"4,665.52",166.17
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2011,0.00,0.00,"7,155.00","200,890.00",0.00,0.00,0.00,0.00,,"7,155.00","200,890.00",2.357864,"4,736.71",168.71
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2012,0.00,0.00,"7,155.00","200,890.00",0.00,0.00,0.00,0.00,,"7,155.00","200,890.00",2.341526,"4,703.90",167.54
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2013,0.00,0.00,"7,155.00","200,890.00",0.00,0.00,0.00,0.00,,"7,155.00","200,890.00",2.307173,"4,634.88",165.08
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2014,0.00,0.00,"7,155.00","200,890.00",0.00,0.00,0.00,0.00,,"7,155.00","200,890.00",2.295244,"4,610.92",164.22
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2001,0.00,0.00,"76,330.00","130,855.00",0.00,0.00,0.00,0.00,,"76,330.00","130,855.00",1.900576,"2,487.00","1,450.71"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2002,0.00,0.00,"76,330.00","258,135.00",0.00,0.00,0.00,0.00,,"76,330.00","258,135.00",1.963154,"5,067.59","1,498.48"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2003,0.00,0.00,"76,330.00","258,135.00",0.00,0.00,0.00,0.00,,"76,330.00","258,135.00",2.043319,"5,274.52","1,559.67"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2004,0.00,0.00,"76,330.00","258,135.00",0.00,0.00,0.00,0.00,,"76,330.00","258,135.00",2.032398,"5,246.33","1,551.33"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2005,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",1.956071,"5,899.81","1,493.07"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2006,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",1.979082,"5,969.21","1,510.63"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2007,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",1.941677,"5,856.39","1,482.08"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2008,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",1.977648,"5,964.88","1,509.54"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2009,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",2.060345,"6,214.31","1,572.66"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2010,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",2.072994,"6,252.46","1,582.32"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2011,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",2.010150,"6,062.91","1,534.35"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2012,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",1.947844,"5,875.00","1,486.79"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2013,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",1.946493,"5,870.92","1,485.76"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2014,0.00,0.00,"76,330.00","301,615.00",0.00,0.00,0.00,0.00,,"76,330.00","301,615.00",1.804054,"5,441.30","1,377.03"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2001,"7,475.00","362,265.00","263,350.00","321,650.00",0.00,0.00,0.00,0.00,,"270,825.00","683,915.00",1.968581,"13,463.42","5,331.41"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2002,"7,475.00","484,710.00","263,350.00","321,650.00",0.00,0.00,0.00,0.00,,"270,825.00","806,360.00",1.977611,"15,946.66","5,355.86"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2003,"7,475.00","448,980.00","263,350.00","321,650.00",0.00,0.00,0.00,0.00,,"270,825.00","770,630.00",2.092772,"16,127.53","5,667.75"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2004,"8,000.00","631,130.00","263,350.00","321,650.00",0.00,0.00,0.00,0.00,,"271,350.00","952,780.00",2.070732,"19,729.52","5,618.93"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2005,"8,000.00","683,255.00","347,350.00","332,570.00",0.00,0.00,0.00,0.00,,"355,350.00","1,015,825.00",2.063932,"20,965.94","7,334.18"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2006,"8,000.00","683,255.00","347,350.00","332,570.00",0.00,0.00,0.00,0.00,,"355,350.00","1,015,825.00",2.058883,"20,914.65","7,316.24"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2007,"8,000.00","684,500.00","347,350.00","332,570.00",0.00,0.00,0.00,0.00,,"355,350.00","1,017,070.00",2.068758,"21,040.72","7,351.33"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2008,"8,000.00","684,500.00","350,320.00","338,740.00",0.00,0.00,0.00,0.00,,"358,320.00","1,023,240.00",2.045019,"20,925.45","7,327.71"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2009,"281,485.00","645,480.00","350,320.00","338,740.00",0.00,0.00,0.00,0.00,,"631,805.00","984,220.00",2.048837,"20,165.06","12,944.65"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2010,"281,485.00","645,480.00","350,320.00","892,075.00",0.00,0.00,0.00,0.00,,"631,805.00","1,537,555.00",2.038218,"31,338.72","12,877.56"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2011,"281,485.00","668,605.00","350,320.00","892,075.00",0.00,0.00,0.00,0.00,,"631,805.00","1,560,680.00",2.036199,"31,778.55","12,864.81"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2012,"281,485.00","668,605.00","350,320.00","892,075.00",0.00,0.00,0.00,0.00,,"631,805.00","1,560,680.00",1.918964,"29,948.90","12,124.11"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2013,"281,485.00","668,605.00","350,320.00","892,075.00",0.00,0.00,0.00,0.00,,"631,805.00","1,560,680.00",1.794256,"28,002.60","11,336.20"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2014,"281,485.00","899,585.00","350,320.00","892,075.00",0.00,0.00,0.00,0.00,,"631,805.00","1,791,660.00",1.604313,"28,743.84","10,136.13"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2002,0.00,0.00,"900,475.00","1,301,625.00",0.00,0.00,0.00,0.00,,"900,475.00","1,301,625.00",2.269407,"29,539.17","20,435.44"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2003,0.00,0.00,"900,475.00","1,301,625.00",0.00,0.00,0.00,0.00,,"900,475.00","1,301,625.00",2.394463,"31,166.93","21,561.54"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2004,0.00,0.00,"900,475.00","1,301,625.00",0.00,0.00,0.00,0.00,,"900,475.00","1,301,625.00",2.372993,"30,887.47","21,368.21"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2005,0.00,0.00,"900,475.00","1,587,895.00",0.00,0.00,0.00,0.00,,"900,475.00","1,587,895.00",2.370005,"37,633.19","21,341.30"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2006,0.00,0.00,"900,475.00","1,852,075.00",0.00,0.00,0.00,0.00,,"900,475.00","1,852,075.00",2.353769,"43,593.57","21,195.10"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2007,0.00,0.00,"900,475.00","1,852,075.00",0.00,0.00,0.00,0.00,,"900,475.00","1,852,075.00",2.305825,"42,705.61","20,763.38"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2008,0.00,0.00,"32,500.00","2,720,050.00",0.00,0.00,0.00,0.00,,"32,500.00","2,720,050.00",2.269981,"61,744.62",737.74
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2009,0.00,0.00,"32,500.00","2,720,050.00",0.00,0.00,0.00,0.00,,"32,500.00","2,720,050.00",2.289484,"62,275.12",744.08
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2010,0.00,0.00,"32,500.00","2,775,075.00",0.00,0.00,0.00,0.00,,"32,500.00","2,775,075.00",2.322425,"64,449.04",754.79
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2011,0.00,0.00,"32,500.00","2,775,075.00",0.00,0.00,0.00,0.00,,"32,500.00","2,775,075.00",2.357864,"65,432.49",766.31
