"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2010 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2007,0,0,"37,050","1,555,800",0,0,0,0,,"37,050","1,555,800",2.305825,"35,874.03",854.31
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2008,0,0,"37,050","1,076,950",0,0,0,0,,"37,050","1,076,950",2.269981,"24,446.56",841.03
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2009,0,0,"37,050","1,076,950",0,0,0,0,,"37,050","1,076,950",2.289484,"24,656.60",848.25
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2010,0,0,"37,050","1,099,230",0,0,0,0,,"37,050","1,099,230",2.322425,"25,528.79",860.46
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2001,0,0,"7,155","173,345",0,0,0,0,,"7,155","173,345",2.199674,"3,813.02",157.39
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2002,0,0,"7,155","173,345",0,0,0,0,,"7,155","173,345",2.269407,"3,933.90",162.38
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2003,0,0,"7,155","173,345",0,0,0,0,,"7,155","173,345",2.394463,"4,150.68",171.32
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2004,0,0,"7,155","173,345",0,0,0,0,,"7,155","173,345",2.372993,"4,113.46",169.79
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2005,0,0,"7,155","196,810",0,0,0,0,,"7,155","196,810",2.370005,"4,664.41",169.57
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2006,0,0,"7,155","196,810",0,0,0,0,,"7,155","196,810",2.353769,"4,632.45",168.41
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2007,0,0,"7,155","196,810",0,0,0,0,,"7,155","196,810",2.305825,"4,538.09",164.98
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2008,0,0,"7,155","196,810",0,0,0,0,,"7,155","196,810",2.269981,"4,467.54",162.42
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2009,0,0,"7,155","196,810",0,0,0,0,,"7,155","196,810",2.289484,"4,505.93",163.81
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2010,0,0,"7,155","200,890",0,0,0,0,,"7,155","200,890",2.322425,"4,665.52",166.17
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2001,0,0,"76,330","130,855",0,0,0,0,,"76,330","130,855",1.900576,"2,487.00","1,450.71"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2002,0,0,"76,330","258,135",0,0,0,0,,"76,330","258,135",1.963154,"5,067.59","1,498.48"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2003,0,0,"76,330","258,135",0,0,0,0,,"76,330","258,135",2.043319,"5,274.52","1,559.67"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2004,0,0,"76,330","258,135",0,0,0,0,,"76,330","258,135",2.032398,"5,246.33","1,551.33"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2005,0,0,"76,330","301,615",0,0,0,0,,"76,330","301,615",1.956071,"5,899.81","1,493.07"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2006,0,0,"76,330","301,615",0,0,0,0,,"76,330","301,615",1.979082,"5,969.21","1,510.63"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2007,0,0,"76,330","301,615",0,0,0,0,,"76,330","301,615",1.941677,"5,856.39","1,482.08"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2008,0,0,"76,330","301,615",0,0,0,0,,"76,330","301,615",1.977648,"5,964.88","1,509.54"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2009,0,0,"76,330","301,615",0,0,0,0,,"76,330","301,615",2.060345,"6,214.31","1,572.66"
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF used for land acquisition and public improvements for the construction of two 4-plex structures for senior citizen housing of medium income.",2010,0,0,"76,330","301,615",0,0,0,0,,"76,330","301,615",2.072994,"6,252.46","1,582.32"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2001,"7,475","362,265","263,350","321,650",0,0,0,0,,"270,825","683,915",1.968581,"13,463.42","5,331.41"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2002,"7,475","484,710","263,350","321,650",0,0,0,0,,"270,825","806,360",1.977611,"15,946.66","5,355.86"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2003,"7,475","448,980","263,350","321,650",0,0,0,0,,"270,825","770,630",2.092772,"16,127.53","5,667.75"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2004,"8,000","631,130","263,350","321,650",0,0,0,0,,"271,350","952,780",2.070732,"19,729.52","5,618.93"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2005,"8,000","683,255","347,350","332,570",0,0,0,0,,"355,350","1,015,825",2.063932,"20,965.94","7,334.18"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2006,"8,000","683,255","347,350","332,570",0,0,0,0,,"355,350","1,015,825",2.058883,"20,914.65","7,316.24"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2007,"8,000","684,500","347,350","332,570",0,0,0,0,,"355,350","1,017,070",2.068758,"21,040.72","7,351.33"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2008,"8,000","684,500","350,320","338,740",0,0,0,0,,"358,320","1,023,240",2.045019,"20,925.45","7,327.71"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2009,"281,485","645,480","350,320","338,740",0,0,0,0,,"631,805","984,220",2.048837,"20,165.06","12,944.65"
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/1998,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2010,"281,485","645,480","350,320","892,075",0,0,0,0,,"631,805","1,537,555",2.038218,"31,338.72","12,877.56"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2002,0,0,"900,475","1,301,625",0,0,0,0,,"900,475","1,301,625",2.269407,"29,539.17","20,435.44"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2003,0,0,"900,475","1,301,625",0,0,0,0,,"900,475","1,301,625",2.394463,"31,166.93","21,561.54"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2004,0,0,"900,475","1,301,625",0,0,0,0,,"900,475","1,301,625",2.372993,"30,887.47","21,368.21"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2005,0,0,"900,475","1,587,895",0,0,0,0,,"900,475","1,587,895",2.370005,"37,633.19","21,341.30"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2006,0,0,"900,475","1,852,075",0,0,0,0,,"900,475","1,852,075",2.353769,"43,593.57","21,195.10"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2007,0,0,"900,475","1,852,075",0,0,0,0,,"900,475","1,852,075",2.305825,"42,705.61","20,763.38"
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2008,0,0,"32,500","2,720,050",0,0,0,0,,"32,500","2,720,050",2.269981,"61,744.62",737.74
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2009,0,0,"32,500","2,720,050",0,0,0,0,,"32,500","2,720,050",2.289484,"62,275.12",744.08
01-0035,ADAMS,1,TIF CROSIER PARK LLC,3/23/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project : Crosier Redevelopment Project
223 E. 14th Street (15.89 acres in Redevelopment Area # 8)
Description: TIF funds used to correct defeciencies in the 100 year-old Crosier Monastery to convert the property to a multi-tenant professional building.
Note: City working with Assessor's office to resolve actual values.

",2010,0,0,"32,500","2,775,075",0,0,0,0,,"32,500","2,775,075",2.322425,"64,449.04",754.79
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2002,0,0,"25,525","1,068,800",0,0,0,0,,"25,525","1,068,800",2.269407,"24,255.42",579.27
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2003,0,0,"25,525","1,068,800",0,0,0,0,,"25,525","1,068,800",2.394463,"25,592.02",611.19
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2004,0,0,"25,525","1,068,800",0,0,0,0,,"25,525","1,068,800",2.372993,"25,362.55",605.71
01-0037,ADAMS,1,TIF MEADOWS ASSOCIATES,1/8/2001,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Meadows Associates, LLC
Lots 13-24 and lots 33-36 and outlots 65 & 67 of Arbor Subdivision
Description: TIF funds used to pay for paving, water, & sewer assessments for 16 new townhomes for rental to low to moderate income families.",2005,0,0,"25,525","1,211,055",0,0,0,0,,"25,525","1,211,055",2.370005,"28,702.07",604.94
